Line Number,Line Label,AltLine,Line Description,New Line,Notes,Has Changes?,Area
550,550,,Jefferson Park - San Pedro via Harbor Transitway,FALSE,,FALSE,
577,577,,El Monte Station - Long Beach VA Medical Center via I-605 Freeway,FALSE,,TRUE,Gateway Cities
601,601,,Warner Center Circulator,FALSE,,FALSE,
602,602,,Westwood - Pacific Palisades via Sunset Bl,FALSE,,TRUE,Westside Central
603,603,,Glendale - Grand Station via San Fernando Rd-Rampart St-Hoover St,FALSE,,FALSE,
605,605,,LAC+USC Medical Center - Boyle Heights Shuttle,FALSE,,FALSE,
611,611,,Huntington Park Shuttle,FALSE,,FALSE,
617,617,,Beverly Dr - Burton Wy - Robertson Bl Shuttle,FALSE,,FALSE,
622,622,,Sun Valley - Burbank Airport via Hollywood Wy-Glenoaks Bl-Roscoe Bl,FALSE,,FALSE,
656,656,222,Panorama - Hollywood Owl via Chandler-Cahuenga,FALSE,,FALSE,
660,660,,L Line (Gold) Del Mar Station - Fair Oaks St/ Loma Alta Dr ,TRUE,,FALSE,
662,662,,Altadena-Pasadena Shuttle,FALSE,,FALSE,
665,665,,Cal State LA - City Terrace Shuttle,FALSE,,FALSE,
686,686,,Altadena - Pasadena via Allen Av,FALSE,,TRUE,San Gabriel Valley
690,690,,Sunland-Sylmar,FALSE,,TRUE,San Gabriel Valley
720,720,,Santa Monica - Downtown LA via Wilshire Bl,FALSE,,TRUE,Westside Central
754,754,,Hollywood - Athens via Vermont Ave,FALSE,,FALSE,
761,761,,Sylmar Station - E Line (Expo) Line via Van Nuys Bl-Sepulveda Bl,FALSE,,FALSE,
854,854 / L Line (Gold) Shuttle,,Union Station - Pico/Aliso Station,FALSE,,FALSE,
901,901 / G Line (Orange),,Chatsworth - Canoga Park - North Hollywood,FALSE,,FALSE,
910,910 / J Line (Silver),910,San Pedro - Harbor Gateway Transit Center - Downtown LA - El Monte Station,FALSE,Split 910/950 into separate lookups. ,FALSE,
950,950 / J Line (Silver),910,San Pedro - Harbor Gateway Transit Center - Downtown LA - El Monte Station,FALSE,,FALSE,
801,Metro A Line (Blue)
802,Metro B Line (Red)
803,Metro C Line (Green)
804,Metro L Line (Gold)
806,Metro E Line (Expo)
805,Metro D Line (Purple)
